year,annual-hydric-deficit
1987,294
1988,333
1989,10
1990,172
1991,1
1992,23
1993,437
1994,411
1995,-119
1996,7
1997,28
1998,322
1999,66
2000,129
2001,95
2002,115
2003,-132
2004,69
2005,-1
2006,-63
2007,123
2008,-12
2009,-46
2010,105
2011,-113
2012,48
2013,-21
2014,77
2015,119
2016,-21
