year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-3.4,9.1,13.7,4.9
1988,1.3,11.4,15.4,3.8
1989,4.1,11.0,15.5,5.0
1990,4.3,11.8,15.3,5.4
1991,1.1,9.2,16.3,5.9
1992,3.1,12.1,16.1,4.8
1993,2.0,11.1,13.7,4.2
1994,1.2,10.0,16.7,6.1
1995,2.0,10.0,16.2,3.6
1996,-2.2,9.6,14.4,3.8
1997,0.8,9.7,17.0,3.8
1998,2.6,11.0,14.5,3.1
1999,1.5,10.6,16.6,4.7
2000,2.3,11.8,14.2,6.7
2001,0.1,9.8,15.6,4.5
2002,2.7,12.0,16.8,2.2
2003,-0.3,11.3,16.9,5.2
2004,0.5,11.1,15.7,5.4
2005,0.7,10.8,16.1,5.8
2006,-1.7,10.9,17.6,8.4
2007,3.5,12.3,15.6,5.4
2008,3.4,11.7,16.0,5.8
2009,1.0,12.0,16.8,4.8
2010,-1.5,10.2,16.2,1.4
2011,-0.4,12.2,16.3,6.8
2012,1.1,10.6,15.6,4.2
2013,-1.2,11.1,15.6,6.8
2014,3.2,11.9,17.0,7.0
2015,3.0,10.3,16.0,7.5
2016,1.3,12.7,16.6,5.2
