year,annual-hydric-deficit
1987,4
1988,-110
1989,-166
1990,-195
1991,-96
1992,-375
1993,-76
1994,-17
1995,-150
1996,-213
1997,-201
1998,841
1999,808
2000,155
2001,100
2002,192
2003,-19
2004,138
2005,19
2006,113
2007,260
2008,116
2009,22
2010,95
2011,110
2012,148
2013,-46
2014,11
2015,12
2016,-93
