year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-3,-45,-18,70
1988,97,-208,-61,62
1989,6,-166,-80,74
1990,37,-180,-108,56
1991,10,-28,-113,34
1992,15,-284,-215,108
1993,21,-219,49,73
1994,102,-126,-97,105
1995,73,-117,-132,26
1996,-30,-96,-144,57
1997,-15,-84,-209,108
1998,255,42,148,395
1999,258,75,93,382
2000,94,-67,-21,149
2001,45,-47,22,80
2002,161,-22,-125,178
2003,7,-20,-131,125
2004,80,-109,35,132
2005,108,-87,-100,98
2006,66,-116,-71,234
2007,119,-44,110,75
2008,108,-207,34,181
2009,36,-103,-55,143
2010,52,-73,-49,164
2011,77,-81,50,64
2012,87,-94,8,147
2013,14,-122,-92,153
2014,80,-124,-84,139
2015,73,-96,-60,95
2016,76,-162,-54,47
