year,F1,F3,M4
,label F1,label F3,label M4
1987,105,157,2
1988,101,158,2
1989,89,157,4
1990,99,149,2
1991,93,159,2
1992,106,156,1
1993,81,158,1
1994,109,158,1
1995,97,159,1
1996,104,149,2
1997,78,152,5
1998,93,148,3
1999,117,162,4
2000,105,158,3
2001,106,160,1
2002,94,150,1
2003,95,150,1
2004,95,149,0
2005,99,157,0
2006,89,159,1
2007,105,154,0
2008,94,160,0
2009,93,159,3
2010,87,154,0
2011,106,157,2
2012,109,153,3
2013,86,147,0
2014,102,163,1
2015,90,155,1
2016,100,155,1
2016
2017,87,147,1
2018,88,145,1
2019,92,152,1
2020,105,156,2
2021,94,148,3
2022,110,157,3
2023,97,153,0
2024,93,152,1
2025,90,153,2
2026,83,153,1
2027,91,150,3
2028,91,161,2
2029,105,153,0
2030,81,145,4
2031,90,149,2
2032,91,147,2
2033,100,155,1
2034,91,152,2
2035,92,155,0
2036,97,156,4
2037,96,151,2
2038,82,147,3
2039,81,147,2
2040,96,155,1
2041,105,148,1
2042,76,151,2
2043,84,146,2
2044,92,144,2
2045,105,153,4
2046,89,148,2
