year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,43,177,206,128
1988,148,68,177,117
1989,72,107,180,134
1990,113,99,176,127
1991,70,209,176,103
1992,84,41,95,175
1993,86,59,288,132
1994,162,119,196,171
1995,144,132,163,84
1996,18,130,118,106
1997,46,158,78,156
1998,312,280,368,447
1999,310,316,359,432
2000,141,167,184,185
2001,93,172,260,124
2002,217,240,140,216
2003,60,231,135,178
2004,128,137,275,183
2005,161,151,134,134
2006,104,125,200,293
2007,187,202,342,122
2008,165,67,270,223
2009,82,186,210,188
2010,92,154,201,204
2011,125,186,279,115
2012,141,145,249,189
2013,66,133,160,203
2014,141,143,194,186
2015,143,137,220,173
2016,133,135,198,109
