year,annual-frozen-days
1987,20
1988,20
1989,11
1990,7
1991,9
1992,23
1993,26
1994,21
1995,5
1996,5
1997,3
1998,8
1999,26
2000,19
2001,13
2002,4
2003,17
2004,19
2005,49
2006,28
2007,2
2008,8
2009,3
2010,24
2011,16
2012,27
2013,6
2014,15
2015,13
2016,6
