year,annual-estival-days
1987,127
1988,112
1989,95
1990,114
1991,108
1992,87
1993,89
1994,104
1995,90
1996,83
1997,102
1998,99
1999,112
2000,118
2001,118
2002,103
2003,120
2004,126
2005,111
2006,122
2007,138
2008,116
2009,132
2010,94
2011,145
2012,125
2013,133
2014,142
2015,121
2016,141

min,88
max,160
steps,10
decimal
