year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,26,79,3
1988,25,91,3
1989,27,79,2
1990,27,75,4
1991,29,82,5
1992,25,89,3
1993,26,75,3
1994,26,86,2
1995,25,84,3
1996,24,81,3
1997,29,77,3
1998,28,73,3
1999,24,88,3
2000,28,74,3
2001,32,-23,3
2002,32,75,3
2003,25,81,2
2004,20,93,4
2005,30,81,5
2006,20,91,3
2007,21,88,3
2008,23,82,3
2009,28,89,3
2010,29,67,3
2011,36,72,3
2012,25,82,2
2013,26,81,3
2014,33,76,3
2015,18,83,3
2016,31,83,3
2016
2017,17,85,3
2018,17,-8,4
2019,25,77,4
2020,30,70,3
2021,21,73,3
2022,27,77,2
2023,16,84,2
2024,17,86,2
2025,25,71,4
2026,21,81,3
2027,19,88,4
2028,19,84,2
2029,25,74,4
2030,22,81,3
2031,21,82,3
2032,20,84,3
2033,24,-15,4
2034,23,74,3
2035,17,93,3
2036,31,75,4
2037,19,-10,3
2038,22,78,4
2039,18,78,3
2040,18,88,4
2041,26,69,4
2042,16,86,4
2043,22,91,3
2044,21,86,4
2045,21,86,3
2046,23,73,3
