year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,190,464,513,161
1988,217,406,536,174
1989,195,440,500,188
1990,176,416,511,172
1991,168,450,542,168
1992,178,419,489,200
1993,169,448,481,180
1994,220,472,516,167
1995,247,442,501,185
1996,207,442,470,187
1997,195,425,458,222
1998,199,448,497,206
1999,210,466,506,181
2000,196,461,523,204
2001,235,469,495,180
2002,206,442,470,216
2003,202,454,529,179
2004,188,412,492,200
2005,195,464,501,188
2006,203,444,523,200
2007,213,451,487,171
2008,197,424,459,146
2009,192,454,472,189
2010,182,417,474,187
2011,181,454,517,182
2012,221,493,491,201
2013,178,400,435,164
2014,182,433,451,141
2015,240,482,511,182
2016,180,436,473,132
