year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,65,24,53,214
1988,61,100,10,83
1989,211,85,109,58
1990,122,75,18,73
1991,229,69,41,55
1992,136,123,1,56
1993,136,41,11,66
1994,10,19,29,58
1995,44,34,15,30
1996,83,42,65,128
1997,61,167,38,68
1998,31,33,12,92
1999,37,6,47,55
2000,52,15,14,69
2001,30,39,86,192
2002,51,91,37,48
2003,70,74,4,123
2004,74,121,1,92
2005,45,37,40,82
2006,92,59,5,101
2007,96,102,59,125
2008,29,114,36,72
2009,95,38,151,72
2010,102,64,42,77
2011,37,36,26,91
2012,71,34,87,224
2013,86,77,79,67
2014,19,34,30,64
2015,92,44,116,53
2016,36,67,35,178
