year,annual-estival-days
1987,36
1988,27
1989,41
1990,40
1991,54
1992,47
1993,37
1994,47
1995,49
1996,35
1997,50
1998,33
1999,45
2000,43
2001,46
2002,39
2003,87
2004,45
2005,49
2006,58
2007,41
2008,33
2009,48
2010,45
2011,56
2012,49
2013,47
2014,46
2015,58
2016,52
