year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,67,-7,-152,102
1988,240,-87,-159,148
1989,8,-87,-169,88
1990,75,-60,-145,163
1991,32,-184,-196,134
1992,42,-154,-115,209
1993,5,-184,-44,186
1994,84,-101,-59,92
1995,230,-86,-133,86
1996,-18,-166,-164,215
1997,79,-2,-171,162
1998,25,-29,-195,210
1999,128,-134,-71,199
2000,103,-161,40,184
2001,191,-128,-35,175
2002,138,-207,-86,212
2003,14,-186,-234,89
2004,106,-188,-124,137
2005,28,-128,-140,68
2006,110,-97,-167,135
2007,147,-152,20,81
2008,104,-88,-46,77
2009,95,-206,-139,131
2010,34,-113,-69,179
2011,-12,-254,-70,147
2012,19,24,-167,175
2013,76,6,-116,172
2014,16,-230,-70,149
2015,69,-187,-266,44
2016,150,39,-220,35
