year,F1,F3,M4
,label F1,label F3,label M4
1987,43,128,1
1988,60,139,1
1989,39,134,0
1990,70,132,4
1991,77,142,3
1992,85,136,2
1993,67,124,0
1994,81,137,2
1995,38,135,2
1996,78,140,0
1997,66,141,2
1998,63,135,2
1999,73,136,1
2000,49,124,1
2001,83,130,1
2002,61,135,1
2003,77,138,1
2004,59,133,4
2005,61,131,2
2006,72,134,0
2007,71,134,1
2008,41,129,2
2009,66,140,3
2010,51,127,2
2011,59,148,1
2012,51,135,0
2013,75,139,3
2014,59,133,1
2015,36,126,2
2016,58,136,3
2016
2017,55,127,4
2018,66,137,5
2019,67,137,2
2020,72,134,1
2021,42,131,1
2022,59,133,2
2023,65,138,2
2024,55,132,3
2025,57,124,2
2026,71,125,1
2027,61,133,1
2028,49,123,3
2029,66,136,4
2030,59,138,1
2031,47,139,5
2032,70,132,2
2033,65,130,3
2034,50,133,4
2035,47,129,2
2036,63,132,3
2037,63,133,2
2038,59,130,1
2039,34,125,2
2040,60,127,3
2041,59,136,1
2042,58,137,2
2043,58,130,0
2044,44,131,5
2045,74,134,4
2046,54,111,3

min,,80,0
max,,170,7
steps,,10,8
decimal
