year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,142,68,147,75
1988,170,-64,-21,187
1989,7,-12,81,97
1990,87,88,1,143
1991,32,31,101,118
1992,68,-169,-88,198
1993,144,145,490,196
1994,75,-73,-98,100
1995,83,103,-30,65
1996,-5,-85,52,95
1997,26,-88,-12,116
1998,30,11,-15,231
1999,128,110,-29,198
2000,161,25,207,129
2001,168,29,23,137
2002,51,-25,130,247
2003,39,-157,-163,126
2004,120,-85,-93,60
2005,33,-48,-25,50
2006,109,-52,-129,33
2007,25,-143,52,19
2008,14,-55,-34,50
2009,56,3,-97,116
2010,0,34,39,87
2011,27,-82,-10,45
2012,16,-64,-20,105
2013,90,63,-153,72
2014,-14,-91,20,86
2015,27,2,-230,79
2016,89,-14,-99,66
