year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1236,8,-181,4
1988,1674,9,-99,0
1989,1669,10,-177,4
1990,1437,10,-70,1
1991,1399,11,-141,4
1992,1612,11,-198,1
1993,1375,11,-107,5
1994,1449,9,-121,0
1995,1380,10,-70,1
1996,1463,9,-152,4
1997,1516,11,-227,10
1998,1230,8,-47,7
1999,1510,10,-237,7
2000,1399,12,63,2
2001,1293,10,-179,7
2002,1416,6,-96,1
2003,1317,9,-140,4
2004,1290,9,-48,0
2005,1689,10,-349,0
2006,1505,11,-110,0
2007,1596,10,-191,0
2008,1214,9,66,7
2009,1211,8,-32,0
2010,1462,9,-153,0
2011,1339,11,-166,7
2012,1402,9,-190,2
2013,1525,10,-161,0
2014,1358,9,-171,2
2015,1531,8,-265,4
2016,1576,10,-131,6
2016
2017,1484,10,-100,5
2018,1538,9,-174,3
2019,1732,11,-169,0
2020,1915,11,-247,0
2021,1876,11,-209,3
2022,1815,9,-201,1
2023,1478,12,-157,10
2024,1497,10,-100,14
2025,1524,9,-90,7
2026,1703,11,-348,10
2027,1708,10,-249,7
2028,1423,13,-122,6
2029,1403,8,-154,6
2030,1383,10,9,2
2031,1668,11,-103,7
2032,1651,11,-163,1
2033,1324,9,-30,6
2034,1351,9,-186,12
2035,1537,9,-110,1
2036,1579,10,-143,5
2037,1316,9,-47,1
2038,1805,9,-200,0
2039,1468,10,-87,3
2040,1290,8,-150,2
2041,1593,10,-353,8
2042,1624,12,-232,2
2043,1598,11,0,4
2044,1398,11,-17,8
2045,1423,10,-82,13
2046,1798,10,-268,7

min,,4
max,,17
steps,,8
decimal
