year,spring-oat,sugar-beet,wheat,winter-rapeseed,lupine,maize-for-grain,millet,barley,potatoes,rye,soybean,sunflower,triticale,vetch
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,35.6,614.8,44.7,24.2,,98.6,22.5,38.2,292.6,34.8,21.1,24.6,49.0
2001,40.8,620.4,52.4,26.1,,90.9,19.7,46.6,300.4,41.7,20.7,24.9,50.3
2002,36.4,684.5,49.7,23.2,,99.8,19.8,42.9,303.8,36.3,25.2,27.4,45.8
2003,37.4,575.0,43.8,17.7,30.1,87.0,22.0,41.6,265.3,33.2,25.5,27.6,41.5,20.0
2004,45.8,648.7,59.2,34.2,30.0,96.5,22.1,52.6,316.1,46.8,25.1,26.9,54.7,20.0
2005,42.5,690.0,50.3,29.6,30.0,106.6,22.1,45.9,344.0,38.2,28.3,26.8,50.3,20.0
2006,37.3,632.8,49.1,32.2,30.0,96.4,18.7,44.3,298.6,34.8,26.0,24.4,46.5,20.0
2007,31.8,628.4,47.8,29.8,30.0,103.1,18.7,41.9,294.9,40.4,26.2,22.5,53.8,20.0
2008,40.7,718.4,56.9,31.1,30.1,113.2,18.7,52.1,332.0,41.1,29.4,29.7,54.1,20.0
2009,39.6,702.9,49.3,30.0,30.0,108.3,42.6,46.0,324.9,37.8,28.2,27.5,50.2,20.0
2010,36.8,698.4,50.1,31.7,22.7,97.2,23.3,46.1,305.7,35.3,27.5,26.2,48.2,20.0
2011,43.9,742.0,58.5,33.5,23.4,113.0,36.1,56.1,357.1,44.0,28.7,28.3,50.0,20.0
2012,37.7,632.2,41.4,26.7,18.9,107.0,37.5,44.0,305.5,42.2,28.1,22.7,50.3,20.0
2013,37.5,681.6,53.7,33.6,19.2,81.2,34.9,51.5,285.9,41.8,19.7,23.5,49.8,20.0
2014,45.5,838.7,59.2,37.5,22.0,107.9,37.7,58.0,351.0,48.2,27.0,28.1,59.0,20.0
2015,41.0,628.0,57.0,29.8,19.8,86.8,41.5,55.4,263.4,43.2,23.9,20.0,52.9,15.0
2016,42.1,812.6,62.5,35.8,17.1,111.6,41.2,61.2,361.6,50.5,30.6,32.9,58.8,15.0
2017,33.0,701.4,48.7,28.8,14.9,99.1,42.9,56.3,284.2,37.4,30.0,23.3,52.3,15.0
