year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,106,109,131,159
1988,74,96,100,67
1989,41,137,153,43
1990,53,112,54,64
1991,25,134,86,98
1992,94,54,90,114
1993,73,50,143,102
1994,51,161,53,78
1995,126,251,226,164
1996,121,267,239,100
1997,130,185,299,109
1998,23,153,230,97
1999,58,167,137,79
2000,107,55,204,112
2001,94,141,276,66
2002,51,159,189,167
2003,38,172,133,146
2004,165,206,112,102
2005,156,128,213,114
2006,163,221,265,79
2007,213,121,297,186
2008,104,207,203,127
2009,254,231,252,173
2010,94,387,276,90
2011,78,212,134,91
2012,145,133,216,120
2013,196,289,163,86
2014,40,293,314,116
2015,58,112,155,136
2016,87,237,214,120
