year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,79,125,0
1988,97,139,0
1989,80,127,0
1990,62,116,0
1991,71,124,1
1992,84,133,0
1993,76,132,0
1994,65,127,0
1995,69,123,1
1996,53,127,0
1997,75,126,0
1998,81,134,0
1999,71,130,0
2000,88,136,1
2001,81,128,1
2002,73,128,0
2003,58,142,0
2004,84,141,0
2005,80,141,0
2006,73,136,0
2007,61,115,1
2008,80,133,0
2009,82,134,0
2010,78,130,0
2011,83,134,0
2012,99,144,0
2013,69,127,1
2014,72,131,0
2015,81,132,0
2016,64,134,1
2016
2017,80,136,0
2018,75,122,0
2019,85,135,0
2020,58,124,2
2021,83,128,0
2022,70,135,0
2023,89,139,0
2024,89,142,1
2025,64,130,1
2026,63,124,1
2027,76,133,0
2028,59,124,1
2029,57,122,0
2030,55,127,0
2031,79,132,1
2032,53,123,0
2033,56,116,1
2034,44,114,0
2035,47,121,0
2036,50,125,0
2037,71,132,0
2038,63,121,0
2039,55,132,0
2040,56,130,1
2041,82,133,0
2042,45,114,0
2043,70,119,0
2044,60,134,0
2045,58,119,0
2046,82,139,0

min,,90,0
max,,190,6
steps,,11,7
decimal
