year,A1,A2,A3
,label A1,label A2,label A3
1987,36,3112,243
1988,41,2989,284
1989,38,2852,246
1990,28,2878,210
1991,42,3099,343
1992,45,3074,280
1993,34,2781,282
1994,6,2888,83
1995,35,2961,240
1996,5,2726,82
1997,30,3090,222
1998,54,2831,300
1999,9,2913,110
2000,39,3096,284
2001,8,2858,81
2002,42,3060,317
2003,29,3080,229
2004,29,3189,244
2005,38,3078,276
2006,44,3035,276
2007,39,2815,265
2008,42,3015,272
2009,23,3013,174
2010,38,3094,249
2011,33,3084,266
2012,15,3140,114
2013,38,2957,272
2014,46,2851,277
2015,23,2915,163
2016,17,2862,129
2016
2017,36,2653,244
2018,54,2603,366
2019,49,2743,321
2020,34,2619,232
2021,28,2839,243
2022,47,2866,275
2023,35,3089,292
2024,36,2821,310
2025,7,2792,70
2026,37,2717,282
2027,33,2877,270
2028,40,2612,249
2029,21,2679,222
2030,18,2826,201
2031,29,2789,201
2032,56,2440,392
2033,41,2672,252
2034,37,2274,281
2035,47,2434,327
2036,49,2609,320
2037,32,2864,225
2038,48,2611,280
2039,63,2592,423
2040,48,2515,329
2041,20,2820,148
2042,30,2369,180
2043,31,2606,219
2044,48,2647,331
2045,43,2487,298
2046,39,2894,264
