year,annual-frozen-days
1987,29
1988,15
1989,7
1990,9
1991,16
1992,9
1993,7
1994,15
1995,28
1996,36
1997,19
1998,18
1999,20
2000,23
2001,35
2002,12
2003,31
2004,27
2005,33
2006,27
2007,19
2008,34
2009,30
2010,75
2011,28
2012,24
2013,36
2014,12
2015,24
2016,33
