year,annual-precipitations
1987,738
1988,693
1989,556
1990,727
1991,677
1992,634
1993,885
1994,825
1995,704
1996,767
1997,667
1998,833
1999,804
2000,886
2001,599
2002,1033
2003,645
2004,791
2005,643
2006,695
2007,827
2008,1024
2009,932
2010,734
2011,742
2012,941
2013,710
2014,972
2015,859
2016,737
