year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,30,101,3
1988,26,117,3
1989,29,110,4
1990,30,101,4
1991,30,108,3
1992,25,108,5
1993,37,111,2
1994,23,9,4
1995,32,109,2
1996,40,120,4
1997,37,111,3
1998,30,102,4
1999,22,108,3
2000,27,106,4
2001,36,103,3
2002,42,117,2
2003,27,95,2
2004,25,104,3
2005,30,119,3
2006,33,112,2
2007,29,110,3
2008,31,105,3
2009,25,101,3
2010,29,109,3
2011,19,105,3
2012,28,103,3
2013,19,104,3
2014,31,104,3
2015,26,112,4
2016,31,99,4
2016
2017,23,105,4
2018,24,103,4
2019,31,92,5
2020,29,103,4
2021,24,101,3
2022,33,113,3
2023,24,97,3
2024,28,96,4
2025,25,99,3
2026,24,97,4
2027,22,100,3
2028,25,104,4
2029,21,103,4
2030,23,101,4
2031,17,96,3
2032,24,104,5
2033,27,9,4
2034,24,112,3
2035,24,9,4
2036,21,101,4
2037,26,105,3
2038,28,107,3
2039,26,102,4
2040,25,96,4
2041,24,104,4
2042,22,95,3
2043,26,101,3
2044,26,93,4
2045,30,9,4
2046,22,104,3
