year,A1,A2,A3
,label A1,label A2,label A3
1987,51,2656,358
1988,96,2738,614
1989,59,2886,357
1990,63,2418,427
1991,59,2156,451
1992,63,2944,411
1993,65,2616,484
1994,57,2725,404
1995,80,2428,488
1996,57,2438,442
1997,42,2430,382
1998,61,2541,432
1999,49,2664,356
2000,43,2635,360
2001,72,2421,450
2002,50,2402,349
2003,52,2689,360
2004,63,2497,442
2005,58,2714,364
2006,69,2621,445
2007,66,2066,472
2008,72,2656,484
2009,72,2577,439
2010,59,2493,372
2011,72,2734,493
2012,24,2290,205
2013,44,2734,328
2014,75,2549,497
2015,85,2452,552
2016,40,2388,262
2016
2017,60,2247,390
2018,69,2305,425
2019,89,2386,641
2020,77,1985,502
2021,69,2262,501
2022,94,2093,582
2023,83,2239,640
2024,64,2496,513
2025,73,2445,486
2026,62,2441,512
2027,79,2059,570
2028,92,2375,567
2029,83,2177,612
2030,71,2314,546
2031,85,2332,562
2032,81,1979,541
2033,75,2633,507
2034,74,2592,570
2035,52,2251,397
2036,98,2225,718
2037,70,2465,539
2038,87,2464,589
2039,87,2462,594
2040,58,2200,385
2041,95,2280,653
2042,86,2554,570
2043,77,2402,486
2044,53,2158,326
2045,78,1905,555
2046,69,2178,498

min,,1800
max,,3150
steps,,10
decimal



