year,F1,F3,M4
,label F1,label F3,label M4
1987,65,120,4
1988,84,127,3
1989,75,125,5
1990,56,100,5
1991,53,109,5
1992,62,124,8
1993,32,126,4
1994,38,124,7
1995,48,108,4
1996,58,120,4
1997,75,116,6
1998,62,112,5
1999,65,118,7
2000,45,122,4
2001,71,116,5
2002,50,113,5
2003,80,130,2
2004,60,115,5
2005,87,129,4
2006,70,127,5
2007,46,111,7
2008,64,121,4
2009,77,126,6
2010,65,122,5
2011,70,125,6
2012,64,118,4
2013,82,126,5
2014,65,129,4
2015,54,116,6
2016,50,108,1
2016
2017,51,120,5
2018,56,131,7
2019,64,108,7
2020,41,117,6
2021,67,116,7
2022,58,114,5
2023,52,122,5
2024,65,125,9
2025,76,120,4
2026,81,125,6
2027,54,112,6
2028,53,127,8
2029,49,113,6
2030,57,115,6
2031,78,123,5
2032,33,104,8
2033,55,122,9
2034,72,134,8
2035,44,115,5
2036,51,115,4
2037,44,119,8
2038,44,118,5
2039,62,121,4
2040,58,108,4
2041,37,113,3
2042,62,120,6
2043,62,115,3
2044,36,109,8
2045,48,114,5
2046,47,114,4

min,,80
max,,150
steps,,11
decimal
