year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,170,203,105,157
1988,161,190,135,79
1989,55,242,203,86
1990,41,51,82,81
1991,37,88,175,144
1992,32,118,67,184
1993,175,105,105,140
1994,86,144,118,126
1995,123,173,219,135
1996,78,140,144,141
1997,102,186,164,234
1998,113,121,229,171
1999,143,151,284,251
2000,69,97,104,90
2001,175,359,262,159
2002,73,191,179,178
2003,73,90,115,189
2004,154,377,195,215
2005,146,161,324,97
2006,133,209,158,73
2007,164,188,152,289
2008,89,208,180,137
2009,147,137,81,245
2010,175,361,200,190
2011,91,116,88,98
2012,94,192,41,191
2013,217,213,196,91
2014,100,310,270,149
2015,188,131,161,148
2016,205,137,253,137
