year,annual-frozen-days
1987,88
1988,86
1989,79
1990,61
1991,80
1992,61
1993,110
1994,51
1995,74
1996,90
1997,91
1998,87
1999,84
2000,82
2001,66
2002,64
2003,98
2004,70
2005,99
2006,81
2007,57
2008,54
2009,61
2010,78
2011,90
2012,69
2013,66
2014,37
2015,54
2016,69
