year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,50,130,2
1988,49,130,2
1989,69,136,3
1990,71,132,2
1991,39,124,3
1992,45,127,2
1993,51,137,4
1994,69,129,4
1995,59,132,1
1996,55,137,3
1997,57,134,3
1998,52,127,4
1999,38,122,4
2000,35,128,3
2001,37,133,3
2002,62,135,4
2003,52,130,2
2004,63,134,3
2005,37,123,2
2006,48,129,2
2007,54,129,3
2008,51,133,3
2009,41,132,3
2010,40,130,3
2011,39,131,2
2012,57,133,3
2013,44,129,2
2014,43,136,2
2015,43,133,3
2016,54,135,4
2016
2017,42,118,4
2018,45,119,1
2019,37,115,4
2020,44,118,1
2021,31,114,2
2022,54,119,3
2023,44,119,3
2024,46,115,3
2025,33,124,3
2026,24,117,2
2027,49,124,2
2028,49,106,3
2029,35,114,4
2030,43,114,3
2031,41,111,3
2032,34,121,3
2033,43,124,3
2034,36,118,4
2035,44,115,4
2036,31,118,2
2037,34,118,4
2038,32,125,4
2039,47,119,3
2040,35,115,3
2041,34,141,4
2042,31,127,2
2043,39,122,4
2044,30,123,4
2045,32,116,2
2046,26,127,3
