year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,53,-249,-353,13
1988,-63,-23,-369,-63
1989,-97,-245,-425,173
1990,-112,-249,-434,-3
1991,18,-312,-432,-8
1992,-100,-213,-408,53
1993,-60,-103,-361,64
1994,-50,-242,-388,74
1995,-76,-289,-389,27
1996,51,-225,-387,114
1997,-72,-166,-224,156
1998,-84,-174,-356,-29
1999,-52,-239,-326,75
2000,-110,-179,-374,147
2001,99,-334,-385,-47
2002,-47,-276,-331,120
2003,49,-276,-392,99
2004,-38,-261,-382,-24
2005,-109,-330,-487,31
2006,-39,-352,-404,108
2007,-17,-150,-343,-2
2008,-64,-72,-430,29
2009,-89,-283,-427,108
2010,121,-238,-396,93
2011,3,-269,-395,-28
2012,-117,-240,-466,67
2013,98,-155,-384,39
2014,5,-258,-337,13
2015,-57,-272,-423,-10
2016,73,-181,-425,-12
