year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,52,129,154,72
1988,127,66,168,122
1989,62,40,81,96
1990,91,61,162,93
1991,59,172,68,104
1992,84,41,95,181
1993,86,59,288,132
1994,162,119,196,171
1995,139,173,142,66
1996,18,130,118,106
1997,46,160,78,156
1998,105,160,161,164
1999,112,146,176,108
2000,81,167,321,236
2001,94,135,226,148
2002,208,163,125,203
2003,73,155,175,160
2004,156,130,225,193
2005,142,97,129,154
2006,91,121,278,278
2007,224,211,352,145
2008,221,92,223,224
2009,107,132,199,206
2010,109,128,211,249
2011,140,135,310,162
2012,166,137,168,225
2013,119,173,158,265
2014,167,169,239,282
2015,201,144,180,310
2016,154,160,146,215
