year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,10,-87,-74,21
1988,79,-212,-69,75
1989,-1,-249,-196,49
1990,27,-201,-83,49
1991,7,-46,-180,56
1992,17,-263,-213,111
1993,21,-212,50,74
1994,104,-126,-105,97
1995,69,-78,-162,2
1996,-36,-100,-150,46
1997,-21,-84,-231,98
1998,44,-84,-57,115
1999,62,-96,-99,56
2000,25,-95,92,192
2001,43,-110,-33,95
2002,141,-102,-159,156
2003,14,-119,-102,110
2004,102,-130,-20,147
2005,86,-168,-138,103
2006,52,-135,-10,227
2007,156,-60,120,97
2008,158,-198,-30,183
2009,61,-148,-62,165
2010,67,-106,-51,206
2011,86,-142,83,109
2012,101,-119,-86,187
2013,71,-85,-105,216
2014,104,-102,-40,237
2015,141,-98,-81,261
2016,103,-123,-98,169
