year,V1,V2,V3,V9
,label V1-EMU,label V2-EMU,label V3,label V9-EMU
1987,800,10,-216,0
1988,1031,12,-181,0
1989,1184,11,-250,0
1990,882,9,-236,1
1991,1060,10,-322,0
1992,930,11,-192,4
1993,1059,12,-339,0
1994,984,11,-395,1
1995,938,9,-194,1
1996,960,12,-338,1
1997,1053,10,-376,0
1998,1012,9,-197,0
1999,944,11,-235,1
2000,878,11,-381,0
2001,970,11,-248,0
2002,869,12,-236,0
2003,1019,12,-129,0
2004,845,10,-240,0
2005,1012,10,-260,0
2006,936,10,-159,1
2007,1140,11,-234,0
2008,956,10,-242,0
2009,1000,10,-265,0
2010,1206,12,-224,0
2011,1007,10,-189,0
2012,1121,12,-265,0
2013,1112,12,-233,0
2014,987,10,-230,2
2015,1130,12,-278,0
2016,928,9,-148,0
2016
2017,984,10,-248,0
2018,1070,11,-277,0
2019,1000,11,-266,0
2020,1229,11,-318,1
2021,1026,12,-343,0
2022,1135,13,-242,0
2023,1070,12,-311,1
2024,1161,13,-474,0
2025,1123,13,-256,0
2026,1163,10,-367,0
2027,1158,12,-353,0
2028,1131,11,-161,0
2029,1020,11,-336,0
2030,1168,11,-333,0
2031,1182,12,-317,0
2032,1186,12,-267,0
2033,1171,11,-166,0
2034,1096,12,-246,0
2035,1107,11,-368,0
2036,1017,10,-273,0
2037,1169,12,-346,0
2038,1112,12,-253,0
2039,1026,11,-233,0
2040,1133,11,-238,0
2041,1198,12,-223,0
2042,1281,12,-325,0
2043,1037,10,-263,0
2044,1064,11,-279,0
2045,1108,12,-183,0
2046,1020,10,-270,0

min,600,2
max,1500,14
steps,7,7
decimal
