year,F1,F3,M4
,label F1,label F3,label M4
1987,82,149,2
1988,88,152,1
1989,101,155,2
1990,95,159,1
1991,100,158,1
1992,99,163,1
1993,92,158,1
1994,96,160,1
1995,87,154,1
1996,114,167,2
1997,85,147,2
1998,107,164,1
1999,102,163,1
2000,99,164,3
2001,97,154,0
2002,113,170,2
2003,89,154,1
2004,95,157,1
2005,102,165,2
2006,102,158,1
2007,83,147,2
2008,99,155,1
2009,108,160,2
2010,87,148,2
2011,87,155,1
2012,75,148,1
2013,9,159,1
2014,107,164,1
2015,112,158,0
2016,108,159,1
2016
2017,44,153,2
2018,106,163,4
2019,83,151,3
2020,105,153,2
2021,94,155,0
2022,87,154,5
2023,85,155,1
2024,85,149,4
2025,82,149,0
2026,92,150,1
2027,63,143,0
2028,90,158,1
2029,75,153,2
2030,59,155,2
2031,86,148,2
2032,91,151,1
2033,96,149,0
2034,95,162,1
2035,102,157,2
2036,91,156,1
2037,94,157,5
2038,77,145,1
2039,87,143,1
2040,73,146,2
2041,85,158,2
2042,95,152,3
2043,66,143,3
2044,81,152,3
2045,94,160,1
2046,105,156,1

min,,19-May
max,,18-Jul
steps,,4
decimal
