year,annual-frozen-days
1987,110
1988,93
1989,52
1990,57
1991,79
1992,47
1993,55
1994,49
1995,82
1996,125
1997,86
1998,83
1999,75
2000,78
2001,96
2002,80
2003,100
2004,84
2005,90
2006,85
2007,45
2008,57
2009,78
2010,122
2011,70
2012,82
2013,92
2014,37
2015,39
2016,70
