year,annual-average-temperature
1987,6.1
1988,8.0
1989,8.9
1990,9.1
1991,7.8
1992,9.0
1993,7.8
1994,8.7
1995,8.2
1996,6.7
1997,8.2
1998,7.7
1999,8.5
2000,8.8
2001,8.1
2002,9.0
2003,8.4
2004,8.3
2005,8.6
2006,9.0
2007,9.3
2008,9.1
2009,8.5
2010,6.9
2011,8.8
2012,8.1
2013,8.3
2014,9.9
2015,9.3
2016,9.1

min,2
max,10
steps,5
decimal,1
