year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,123,383,449,103
1988,153,298,453,103
1989,129,335,438,135
1990,167,406,518,131
1991,116,367,456,108
1992,131,345,447,106
1993,133,371,502,113
1994,178,474,556,121
1995,177,408,473,124
1996,139,385,442,122
1997,149,377,428,124
1998,143,369,475,111
1999,141,394,459,105
2000,141,379,478,114
2001,145,415,457,111
2002,142,426,466,126
2003,136,388,441,121
2004,140,362,416,129
2005,142,432,484,122
2006,139,413,473,118
2007,129,336,412,111
2008,137,331,403,92
2009,134,383,451,131
2010,120,344,429,109
2011,125,395,448,123
2012,162,453,529,111
2013,98,323,403,102
2014,124,386,434,118
2015,144,427,483,118
2016,131,373,463,108
