year,annual-estival-days
1987,89
1988,79
1989,89
1990,85
1991,93
1992,81
1993,72
1994,95
1995,81
1996,91
1997,78
1998,85
1999,99
2000,105
2001,101
2002,91
2003,104
2004,110
2005,111
2006,112
2007,77
2008,89
2009,108
2010,92
2011,118
2012,124
2013,88
2014,90
2015,106
2016,101

min.,0
max.,150
steps.,11
decimals
