year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,126,115,86,186
1988,84,351,23,85
1989,114,254,59,153
1990,60,55,75,123
1991,87,140,139,61
1992,46,151,48,116
1993,45,153,107,137
1994,45,123,14,68
1995,28,170,85,160
1996,127,159,129,195
1997,56,162,128,82
1998,62,140,40,51
1999,53,152,132,97
2000,19,166,19,202
2001,167,83,64,82
2002,96,148,126,201
2003,171,154,65,130
2004,123,230,100,100
2005,25,116,63,144
2006,91,160,169,103
2007,90,133,24,128
2008,62,246,43,144
2009,75,86,40,123
2010,107,190,54,111
2011,108,219,10,97
2012,32,323,77,129
2013,375,25,93,192
2014,338,183,92,228
2015,96,71,50,73
2016,179,152,27,111
