year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.5,12.7,19.1,6.9
1988,4.1,11.5,17.9,6.5
1989,4.1,12.0,18.5,8.9
1990,5.5,12.8,20.1,6.2
1991,4.2,11.8,20.4,7.0
1992,3.2,11.9,18.4,7.2
1993,3.8,12.1,17.9,6.3
1994,5.2,13.5,20.0,7.7
1995,5.4,13.1,17.6,8.2
1996,4.5,12.7,17.4,7.0
1997,6.8,14.0,19.8,8.4
1998,6.4,13.1,20.4,6.6
1999,4.6,14.2,20.1,6.6
2000,5.1,13.8,19.7,7.5
2001,6.3,14.2,19.9,6.1
2002,6.5,14.5,19.6,8.7
2003,4.7,14.7,19.6,7.3
2004,4.9,13.1,19.1,6.8
2005,3.3,15.3,19.9,6.9
2006,4.3,14.9,19.1,8.4
2007,5.6,13.2,19.3,7.4
2008,5.6,13.1,18.4,5.6
2009,4.1,13.3,19.4,8.1
2010,4.2,13.1,20.2,6.8
2011,5.7,16.2,21.2,9.2
2012,4.8,15.1,21.2,8.1
2013,4.4,12.0,20.4,7.8
2014,5.5,14.7,19.9,9.1
2015,5.6,16.2,22.1,10.1
2016,4.9,12.5,19.7,7.9
