year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,98,27,-24,76
1988,100,-162,-107,158
1989,-41,-169,-175,-17
1990,-31,-58,-80,53
1991,-55,-151,-215,-12
1992,38,-202,-67,19
1993,-4,-171,-57,95
1994,32,-107,-132,14
1995,-4,29,11,47
1996,-25,-103,11,52
1997,26,-175,-132,76
1998,-16,-130,-70,101
1999,31,-71,-119,66
2000,112,-227,-66,-16
2001,51,-72,-62,79
2002,0,-146,-50,177
2003,5,-241,-205,16
2004,22,-118,-132,77
2005,29,-140,-9,12
2006,37,-163,-205,-2
2007,8,-143,74,38
2008,0,-137,-127,54
2009,46,-108,-152,146
2010,14,-112,75,141
2011,-22,-178,-80,-2
2012,-12,-184,-117,72
2013,84,54,-196,23
2014,-75,-160,51,23
2015,-10,-142,-209,52
2016,39,-123,-168,62
