year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,150,253,220,146
1988,172,117,178,230
1989,46,128,115,56
1990,76,230,227,125
1991,29,73,84,72
1992,129,113,250,93
1993,88,153,229,169
1994,125,179,190,98
1995,99,275,331,118
1996,39,156,256,125
1997,113,107,175,156
1998,92,156,203,165
1999,100,173,160,128
2000,177,77,211,76
2001,130,196,236,160
2002,106,130,236,246
2003,85,108,155,92
2004,107,140,184,150
2005,111,159,277,92
2006,94,136,145,92
2007,116,197,364,103
2008,104,160,174,128
2009,109,182,161,220
2010,91,151,363,209
2011,63,160,211,86
2012,79,130,197,146
2013,141,306,117,108
2014,31,130,339,100
2015,80,155,144,132
2016,120,173,147,120
