year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,310,159,291,411
1988,192,232,127,409
1989,110,94,96,145
1990,92,168,89,233
1991,132,96,115,157
1992,85,167,123,114
1993,60,145,187,303
1994,198,116,264,295
1995,86,124,225,316
1996,364,133,266,339
1997,166,128,72,227
1998,74,357,132,112
1999,145,169,263,304
2000,28,278,184,282
2001,261,116,195,171
2002,171,169,430,269
2003,88,111,153,408
2004,112,79,110,308
2005,17,160,321,187
2006,132,29,156,173
2007,54,231,84,125
2008,196,241,84,401
2009,218,186,75,184
2010,259,183,31,298
2011,199,95,134,284
2012,20,193,140,143
2013,233,161,61,141
2014,242,91,277,332
2015,203,192,164,201
2016,129,143,139,301
