year,annual-hydric-deficit
1987,-15
1988,-267
1989,-907
1990,-552
1991,-666
1992,-590
1993,-464
1994,-334
1995,-451
1996,-67
1997,-606
1998,-544
1999,-288
2000,-409
2001,-466
2002,-116
2003,-505
2004,-591
2005,-555
2006,-768
2007,-736
2008,-209
2009,-613
2010,-401
2011,-499
2012,-753
2013,-585
2014,-234
2015,-511
2016,-529
