year,A1,A2,A3
,label A1,label A2,label A3
1987,25,2187,216
1988,30,2241,232
1989,55,2432,357
1990,25,2221,211
1991,9,2426,134
1992,41,2290,288
1993,32,2308,267
1994,24,2231,206
1995,51,2057,319
1996,35,2273,270
1997,21,2181,204
1998,30,2271,213
1999,24,2367,250
2000,29,2301,208
2001,41,2433,287
2002,13,2246,129
2003,43,2231,278
2004,34,2394,257
2005,40,2323,297
2006,48,2290,290
2007,35,2256,295
2008,37,2174,281
2009,53,2285,368
2010,47,2289,304
2011,30,2259,236
2012,36,2338,266
2013,21,2482,187
2014,42,2198,274
2015,36,2202,245
2016,43,2327,276
2016
2017,28,2080,264
2018,42,2149,384
2019,57,1886,453
2020,34,1971,254
2021,51,2079,434
2022,56,1974,389
2023,63,1810,492
2024,66,2066,513
2025,50,2116,399
2026,62,1815,425
2027,62,2320,447
2028,98,1883,600
2029,69,1885,500
2030,77,2265,588
2031,67,2017,413
2032,60,2114,393
2033,54,2266,396
2034,48,2014,361
2035,46,1836,300
2036,73,2134,448
2037,62,1978,406
2038,59,2054,386
2039,63,2129,399
2040,66,2183,453
2041,50,1856,404
2042,83,1960,534
2043,50,1967,343
2044,64,1953,456
2045,53,1779,398
2046,52,2120,369
