year,annual-estival-days
1987,67
1988,59
1989,94
1990,85
1991,87
1992,56
1993,56
1994,84
1995,85
1996,67
1997,92
1998,83
1999,97
2000,84
2001,88
2002,75
2003,115
2004,101
2005,87
2006,97
2007,80
2008,82
2009,108
2010,88
2011,104
2012,95
2013,75
2014,82
2015,81
2016,80
