year,annual-precipitations
1987,750
1988,816
1989,527
1990,566
1991,471
1992,746
1993,820
1994,894
1995,748
1996,652
1997,744
1998,853
1999,853
2000,794
2001,902
2002,766
2003,721
2004,835
2005,642
2006,862
2007,826
2008,856
2009,719
2010,762
2011,703
2012,762
2013,949
2014,918
2015,573
2016,908
