year,annual-frozen-days
1987,67
1988,43
1989,61
1990,48
1991,68
1992,58
1993,62
1994,36
1995,58
1996,70
1997,78
1998,69
1999,48
2000,38
2001,58
2002,34
2003,70
2004,71
2005,79
2006,68
2007,49
2008,63
2009,71
2010,79
2011,49
2012,52
2013,57
2014,20
2015,48
2016,54
