year,F1,F3,M4
,label F1,label F3,label M4
1987,53,125,2
1988,55,124,1
1989,54,123,3
1990,43,131,3
1991,64,131,3
1992,64,129,3
1993,57,127,3
1994,64,127,1
1995,52,138,4
1996,46,131,3
1997,72,143,0
1998,45,118,2
1999,37,129,4
2000,48,117,2
2001,42,120,1
2002,59,128,3
2003,58,131,2
2004,33,121,4
2005,48,109,3
2006,44,129,2
2007,44,133,2
2008,79,137,2
2009,61,130,2
2010,59,135,7
2011,52,124,3
2012,50,120,1
2013,44,124,2
2014,45,122,0
2015,63,128,2
2016,50,130,2
2016
2017,56,126,5
2018,52,124,3
2019,62,126,4
2020,35,135,1
2021,48,125,5
2022,38,124,6
2023,41,124,4
2024,44,126,4
2025,50,114,4
2026,52,120,2
2027,36,124,4
2028,36,130,0
2029,52,127,5
2030,48,120,4
2031,50,116,3
2032,37,117,3
2033,41,123,3
2034,34,127,3
2035,44,123,4
2036,16,110,3
2037,43,115,4
2038,51,125,4
2039,39,127,2
2040,49,120,5
2041,45,115,4
2042,47,121,2
2043,41,124,3
2044,43,125,1
2045,28,121,5
2046,54,120,3
