year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,other-cereal,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,70,69,50,90,38,30,23,25,44,32,60,120,63,49
2001,61,59,37,71,35,24,19,23,33,30,60,100,63,49
2002,69,67,52,80,38,31,24,30,44,35,54,100,59,47
2003,43,37,29,71,30,29,22,25,44,28,47,50,31,23
2004,73,69,53,88,40,34,26,30,39,35,65,110,80,70
2005,63,66,48,82,32,30,26,26,35,30,62,80,47,36
2006,58,63,49,75,35,27,17,25,28,22,55,90,62,53
2007,53,58,40,91,35,27,25,33,35,30,59,119,73,60
2008,60,65,48,91,35,33,22,,42,40,47,104,71,58
2009,71,68,57,98,40,37,25,28,44,31,43,115,71,54
2010,64,60,47,94,40,30,22,26,46,30,53,109,69,57
2011,60,59,46,102,40,31,28,30,33,28,58,114,54,38
2012,65,61,46,92,45,31,25,31,29,27,54,95,62,48
2013,65,63,49,88,45,24,20,29,36,26,49,96,68,56
2014,65,70,47,108,45,35,23,30,30,20,59,115,70,56
2015,71,71,50,75,49,31,17,20,35,19,55,55,51,40
2016,38,47,32,73,32,29,18,24,10,7,35,50,62,56
2017,70,62,53,104,53,34,27,30,38,19,48,104,66,55
