year,A1,A2,A3
,label A1,label A2,label A3
1987,1,4310,21
1988,14,4019,88
1989,4,4273,60
1990,9,4018,77
1991,3,4344,49
1992,16,4316,94
1993,6,4391,66
1994,5,4434,58
1995,21,4331,135
1996,0,3992,36
1997,5,4228,68
1998,17,4141,121
1999,8,4219,86
2000,3,3845,60
2001,4,4319,48
2002,8,4234,78
2003,11,4087,110
2004,2,4002,39
2005,9,4114,99
2006,14,4262,102
2007,8,4210,66
2008,2,4111,26
2009,12,4068,98
2010,5,4211,52
2011,12,4264,77
2012,5,4386,59
2013,20,4246,150
2014,7,4374,75
2015,10,3993,94
2016,7,4039,69
2016
2017,11,3763,83
2018,13,3677,74
2019,30,3594,202
2020,16,3933,119
2021,6,4222,52
2022,9,3984,76
2023,7,3752,89
2024,10,4213,85
2025,20,3727,113
2026,5,3957,56
2027,5,3795,55
2028,11,3610,97
2029,11,3842,94
2030,14,3622,159
2031,15,3601,125
2032,3,3929,44
2033,5,3997,46
2034,9,3701,81
2035,8,3656,59
2036,18,3853,115
2037,3,3736,44
2038,21,3657,162
2039,21,3685,151
2040,1,3901,34
2041,13,3969,101
2042,10,4096,75
2043,22,3614,141
2044,2,3930,21
2045,13,3621,122
2046,25,3554,197
