year,annual-precipitations
1987,787
1988,700
1989,969
1990,1063
1991,656
1992,745
1993,986
1994,1080
1995,755
1996,630
1997,750
1998,848
1999,496
2000,544
2001,694
2002,603
2003,732
2004,776
2005,779
2006,626
2007,649
2008,613
2009,739
2010,885
2011,654
2012,891
2013,668
2014,707
2015,608
2016,777
