year,V1,V2,V3,V9
,label V1-EMU,label V2-EMU,label V3,label V9-EMU
1987,1047,8,-146,0
1988,1231,11,-79,5
1989,1161,10,-180,0
1990,1150,6,-123,1
1991,1167,9,-272,2
1992,1220,9,-251,4
1993,1167,7,-275,0
1994,1141,7,-393,1
1995,1359,8,-269,2
1996,1133,8,-282,0
1997,1307,8,-305,0
1998,1131,6,-300,4
1999,1353,11,-385,0
2000,1293,7,-337,0
2001,1151,7,-162,0
2002,1245,6,-323,1
2003,1320,8,-230,1
2004,1203,7,-259,1
2005,1268,10,-215,3
2006,1219,8,-309,0
2007,1119,7,-263,0
2008,857,7,-160,1
2009,1278,10,-144,4
2010,1047,9,-138,2
2011,1070,6,-148,1
2012,1322,8,-273,0
2013,1323,7,-291,2
2014,1176,8,-90,8
2015,1201,5,-298,2
2016,1188,7,-182,0
2016
2017,1197,9,-28,4
2018,1239,9,-161,0
2019,1517,8,-276,0
2020,1232,7,-332,3
2021,1206,9,-314,0
2022,1248,8,-182,0
2023,1344,10,-378,0
2024,1057,7,-317,1
2025,1197,8,-245,0
2026,1087,8,-369,7
2027,1114,9,-292,0
2028,1248,9,-280,2
2029,1316,9,-454,0
2030,1525,9,-313,0
2031,1405,9,-211,0
2032,1272,9,-286,0
2033,1079,9,-187,0
2034,1430,11,-293,0
2035,1229,8,-120,0
2036,1422,10,-189,1
2037,1179,9,-221,0
2038,1341,9,-130,0
2039,1316,11,-275,5
2040,1098,10,-147,1
2041,1327,9,-286,0
2042,1293,9,-163,0
2043,1342,10,-231,0
2044,1044,9,-159,0
2045,1527,9,-367,0
2046,1569,8,-217,0
