year,F1,F3,M4
,label F1,label F3,label M4
1987,107,161,2
1988,90,155,1
1989,123,168,0
1990,108,156,2
1991,106,155,1
1992,109,159,1
1993,124,162,2
1994,119,161,1
1995,123,162,2
1996,111,159,3
1997,120,155,2
1998,93,157,1
1999,112,155,2
2000,116,153,2
2001,112,159,1
2002,125,159,2
2003,111,159,1
2004,107,152,3
2005,113,162,1
2006,120,164,2
2007,116,160,2
2008,112,166,2
2009,109,161,0
2010,115,165,2
2011,123,169,1
2012,121,160,4
2013,114,161,1
2014,109,161,0
2015,107,156,4
2016,103,151,1
2016
2017,109,157,0
2018,108,147,0
2019,102,152,1
2020,116,159,5
2021,120,164,1
2022,114,157,2
2023,119,163,1
2024,115,161,1
2025,105,155,2
2026,106,164,2
2027,102,157,2
2028,95,153,1
2029,99,149,1
2030,9,145,0
2031,83,154,2
2032,112,153,3
2033,89,149,2
2034,110,152,3
2035,111,154,0
2036,96,154,1
2037,115,159,1
2038,104,156,3
2039,96,160,2
2040,113,160,2
2041,111,158,3
2042,110,153,0
2043,101,157,0
2044,101,145,0
2045,106,143,1
2046,100,147,3
