year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,70,56,-4,136
1988,120,-140,39,94
1989,99,49,38,199
1990,125,-85,269,174
1991,87,-8,-81,94
1992,125,-37,-145,192
1993,124,-95,246,142
1994,222,175,-65,160
1995,145,-18,-23,112
1996,83,-65,-46,149
1997,74,54,-89,193
1998,146,30,40,131
1999,100,-149,-150,111
2000,61,-140,21,64
2001,66,-15,-98,158
2002,151,-148,-195,131
2003,30,-73,42,159
2004,151,-58,-65,201
2005,123,-14,11,95
2006,29,-87,3,100
2007,134,-118,-70,114
2008,125,-90,-108,99
2009,90,-61,-85,235
2010,93,-40,112,149
2011,62,-110,32,71
2012,124,-33,35,198
2013,113,-146,13,109
2014,56,23,-57,84
2015,61,-68,-93,115
2016,92,-132,10,239
