year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,104,288,219,177
1988,161,130,276,134
1989,153,310,272,234
1990,193,185,473,213
1991,129,225,172,130
1992,171,226,125,223
1993,167,173,463,184
1994,260,427,192,200
1995,186,221,208,140
1996,114,169,169,178
1997,113,265,152,221
1998,186,261,241,161
1999,135,118,103,141
2000,99,115,226,105
2001,108,237,160,190
2002,208,141,88,167
2003,78,179,281,194
2004,191,182,167,236
2005,162,227,254,136
2006,63,169,253,141
2007,185,146,169,148
2008,175,163,135,140
2009,124,191,156,268
2010,128,202,371,184
2011,105,159,279,111
2012,165,219,271,236
2013,151,123,244,150
2014,115,267,199,126
2015,117,178,160,153
2016,139,141,225,272
