year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
,(mm),(mm),(mm),(mm)
1987,42,-8,-27,135
1988,147,-127,-52,46
1989,15,-99,-179,107
1990,40,-159,-224,148
1991,25,-87,-197,93
1992,59,-129,-41,105
1993,-12,-124,-25,206
1994,52,-155,-87,66
1995,100,-131,-172,39
1996,3,-205,-73,147
1997,-21,-72,-196,122
1998,31,-26,-150,186
1999,77,-97,-20,116
2000,13,-62,-5,189
2001,69,-109,-34,62
2002,44,-123,-142,225
2003,17,-115,-223,122
2004,76,-120,-70,71
2005,70,-107,-66,118
2006,-7,-198,-58,42
2007,48,39,-95,46
2008,58,-115,-72,157
2009,55,-118,-188,159
2010,96,-152,-103,100
2011,7,-210,-125,-3
2012,12,68,-61,137
2013,92,-148,-186,109
2014,32,-97,-94,117
2015,15,-173,-78,62
2016,108,17,-190,79
