year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
,(°C),(°C),(°C),(°C)
1987,2.7,10.9,15.4,8.0
1988,5.4,11.2,15.2,7.8
1989,6.2,11.0,16.8,8.3
1990,7.6,11.6,16.2,8.1
1991,4.6,10.3,16.9,7.2
1992,5.9,12.6,16.1,7.1
1993,5.8,12.1,14.9,7.0
1994,5.6,11.7,16.7,9.1
1995,5.6,11.3,17.1,8.0
1996,3.3,10.7,15.8,7.0
1997,5.6,11.5,17.1,8.5
1998,7.3,12.2,16.0,7.5
1999,6.2,12.3,17.1,8.2
2000,6.5,12.1,15.9,7.7
2001,4.8,11.6,16.4,8.5
2002,7.0,12.4,16.6,8.4
2003,5.5,13.0,17.2,8.0
2004,4.9,12.4,16.5,8.3
2005,5.9,12.1,16.2,8.6
2006,5.0,12.3,18.0,10.1
2007,7.2,12.1,15.9,8.5
2008,6.6,11.9,16.2,7.9
2009,5.0,12.2,17.1,8.8
2010,4.2,11.5,16.6,6.7
2011,6.0,13.6,16.1,9.7
2012,6.2,11.3,15.9,7.5
2013,3.1,10.7,16.8,8.7
2014,7.2,12.9,16.7,9.8
2015,5.5,11.7,16.2,10.7
2016,5.9,11.7,18.0,8.8
