year,annual-estival-days
1987,7
1988,3
1989,17
1990,23
1991,14
1992,7
1993,3
1994,17
1995,23
1996,11
1997,17
1998,9
1999,14
2000,11
2001,13
2002,11
2003,18
2004,10
2005,15
2006,16
2007,3
2008,6
2009,10
2010,17
2011,9
2012,6
2013,12
2014,5
2015,12
2016,14
