year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
,(mm),(mm),(mm),(mm)
1987,110,205,209,201
1988,233,88,199,112
1989,111,160,108,179
1990,154,104,85,220
1991,96,143,104,159
1992,146,145,225,181
1993,84,119,220,283
1994,148,103,200,139
1995,197,107,130,115
1996,71,45,200,223
1997,67,171,83,199
1998,134,219,121,259
1999,168,161,252,194
2000,102,183,230,265
2001,140,143,221,136
2002,142,139,118,293
2003,107,164,82,211
2004,162,146,201,152
2005,166,157,186,190
2006,92,86,215,153
2007,157,262,175,128
2008,164,119,182,236
2009,134,120,123,244
2010,170,91,184,179
2011,89,89,157,97
2012,100,276,200,201
2013,161,84,83,186
2014,142,146,174,212
2015,116,102,203,161
2016,196,235,115,161
