year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,101,304,316,116
1988,169,157,208,160
1989,70,238,281,177
1990,240,272,342,239
1991,153,378,447,275
1992,124,173,230,260
1993,68,196,289,190
1994,159,246,283,142
1995,177,310,227,125
1996,70,178,267,142
1997,85,158,152,128
1998,74,219,259,259
1999,146,308,241,190
2000,189,226,389,144
2001,247,216,225,186
2002,146,197,436,280
2003,79,124,145,164
2004,205,158,144,129
2005,165,237,364,130
2006,154,291,238,79
2007,123,247,311,118
2008,137,232,219,99
2009,113,231,189,176
2010,77,228,337,183
2011,78,126,261,126
2012,109,210,222,168
2013,135,309,273,127
2014,95,125,322,149
2015,127,244,117,162
2016,158,337,217,102
