year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1365,9,-101,8
1988,1244,8,-88,3
1989,1243,9,-64,7
1990,1274,8,6,7
1991,1351,9,-241,5
1992,1264,9,-157,0
1993,1337,9,-35,0
1994,1337,9,-148,0
1995,1457,10,-109,2
1996,1350,10,-185,2
1997,1657,10,-311,0
1998,1119,10,57,4
1999,1071,8,-92,9
2000,1300,10,-269,17
2001,1636,10,-27,0
2002,1633,10,-112,1
2003,1573,9,-147,0
2004,1531,9,26,3
2005,1218,7,-184,2
2006,1252,8,-93,9
2007,1484,7,-4,1
2008,1405,9,-153,1
2009,1118,8,-80,8
2010,1256,9,-85,11
2011,1270,8,73,8
2012,1403,10,-82,8
2013,1180,10,-73,7
2014,1409,8,46,0
2015,1604,10,-121,0
2016,1403,9,-108,0
2016
2017,1494,10,-217,8
2018,1509,10,-170,3
2019,1336,10,-88,10
2020,1516,10,-74,6
2021,1492,10,-253,6
2022,1749,10,-227,2
2023,1402,10,-252,9
2024,1658,10,-273,8
2025,1430,11,75,6
2026,1413,11,-304,5
2027,1533,10,-343,2
2028,1480,11,-224,5
2029,1561,12,-188,5
2030,1455,9,-238,5
2031,1387,9,-61,9
2032,1612,9,-190,8
2033,1638,12,-114,9
2034,1758,11,-200,0
2035,2039,13,-135,0
2036,1412,11,-20,3
2037,1207,11,-49,5
2038,1447,12,-216,1
2039,1534,10,-119,15
2040,1364,11,-47,6
2041,1693,9,-170,2
2042,1513,9,-56,1
2043,1681,10,-95,3
2044,1312,9,-218,4
2045,1200,8,-119,2
2046,1213,10,-124,14

min,,4
max,,17
steps,,8
decimal
