year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,16,25,-33,3,11,-120,57,48,128
1988,10,29,-84,2,4,-104,55,25,151
1989,19,32,-28,3,16,-69,70,47,172
1990,13,43,13,2,15,-14,61,43,240
1991,13,23,-53,7,11,-249,58,65,166
1992,19,26,-66,3,5,-117,64,28,93
1993,8,45,12,3,12,-54,62,50,208
1994,7,39,-70,0,12,-104,65,46,190
1995,18,35,-52,3,14,-89,55,37,107
1996,14,23,-71,3,4,-184,43,28,205
1997,11,26,-68,3,15,-182,47,51,110
1998,12,39,37,1,2,71,64,42,195
1999,7,29,-78,3,1,-136,55,45,240
2000,14,43,-10,3,26,-234,78,35,80
2001,20,24,10,2,19,-30,53,57,178
2002,14,45,-57,1,9,-94,49,46,186
2003,23,42,-104,3,17,-111,53,39,201
2004,10,14,-40,4,10,28,51,31,266
2005,17,34,-83,4,12,-163,57,43,140
2006,18,22,-74,5,6,-126,63,37,183
2007,16,18,-36,2,10,-37,46,61,200
2008,14,50,-67,2,12,-80,51,31,163
2009,1,52,-7,1,9,-46,64,34,142
2010,5,22,-16,0,3,-55,58,37,123
2011,16,36,-27,1,11,-11,61,41,278
2012,10,21,-67,3,6,-107,51,38,167
2013,5,57,17,4,1,-81,59,34,173
2014,18,39,19,0,11,57,49,35,216
2015,18,48,-91,3,11,-112,49,39,198
2016,7,26,-59,4,6,-77,48,46,213
2016
2017,11,14,-45,4,20,-214,57,13,126
2018,8,18,-51,4,20,-157,54,15,131
2019,15,36,-14,2,8,-47,59,33,166
2020,31,35,5,2,16,-63,57,20,119
2021,14,29,-37,4,14,-205,62,29,98
2022,31,20,-65,4,13,-190,38,40,112
2023,19,27,-45,2,15,-209,57,19,85
2024,37,24,-91,3,11,-173,46,32,136
2025,15,29,114,1,3,106,50,22,126
2026,24,20,-111,4,16,-262,61,23,163
2027,14,29,-109,5,23,-294,57,32,113
2028,22,45,54,6,13,-138,59,30,43
2029,27,7,-70,2,9,-157,52,30,178
2030,7,31,-57,1,24,-198,66,26,91
2031,19,33,10,2,19,-45,62,17,171
2032,32,21,-85,3,21,-145,48,31,169
2033,26,17,-11,1,14,-88,52,23,82
2034,21,12,-79,4,27,-144,53,27,173
2035,31,19,-51,1,17,-95,40,14,154
2036,10,9,8,0,4,30,57,30,168
2037,9,31,8,5,2,-69,64,31,149
2038,13,13,-13,3,7,-145,59,22,66
2039,31,16,6,3,16,-79,47,14,114
2040,18,18,35,1,6,-60,70,31,93
2041,27,29,-13,3,9,-150,31,26,72
2042,29,18,63,3,5,-43,56,22,106
2043,30,26,24,3,13,-77,44,28,116
2044,15,22,-28,3,12,-162,67,32,75
2045,10,22,28,3,4,-44,69,17,112
2046,9,35,17,1,1,-47,63,24,76

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
