year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,25,-137,-223,9
1988,34,-160,-156,30
1989,-39,-186,-195,-43
1990,-89,-293,-333,-25
1991,-56,-264,-280,25
1992,-65,-306,-338,11
1993,-62,-343,-295,42
1994,-54,-234,-263,42
1995,41,-47,-208,50
1996,5,-84,-60,3
1997,-22,-158,-166,37
1998,-80,-236,-91,73
1999,-21,-90,-130,59
2000,57,-334,-209,63
2001,6,-256,-42,-4
2002,-24,-170,-133,95
2003,-58,-303,-266,30
2004,44,-141,-237,31
2005,17,-181,-137,111
2006,55,-174,-190,-45
2007,42,-242,-182,35
2008,21,-156,-207,35
2009,66,-241,-242,145
2010,16,75,-83,89
2011,-26,-162,-227,-14
2012,-47,-263,-238,60
2013,160,-185,-240,35
2014,-26,-205,30,22
2015,15,-245,-282,30
2016,50,-171,-87,40
