year,annual-average-temperature
1987,9.2
1988,10.0
1989,10.4
1990,10.4
1991,9.4
1992,10.6
1993,9.8
1994,11.0
1995,10.4
1996,9.2
1997,10.0
1998,10.0
1999,10.1
2000,11.0
2001,9.8
2002,10.6
2003,10.2
2004,9.7
2005,9.5
2006,10.2
2007,11.1
2008,11.0
2009,10.7
2010,9.8
2011,10.3
2012,10.8
2013,10.6
2014,11.9
2015,11.8
2016,11.2

min,6
max,14
steps,9
decimal
